Name,body Shape,dress size,Breasts-Waist-Hips(m),Shoe/Feet,Bra size,Cup size,Height(m),Weight(kg),Natural breasts or implants?
Stevie Nicks, Hourglass , 4,2.311-1.626-2.261, 6, 34B, B,1.56,61, Natural 

Julie London, Hourglass , 6,2.388-1.549-2.311, 7, 34C, C,1.6,54, Natural 

Jill Scott, Hourglass , 14,2.845-2.057-2.642, 10, 38DDD , DDD / F,1.68,91, Natural 

Taylor Momsen, Banana , 4,2.184-1.626-2.261, 10, 32B, B,1.73,54, Natural 

Emily Browning, Banana , 0,2.134-1.473-2.184, 6, 32A, A,1.55,49, Natural 

Katey Sagal, Hourglass , 8,2.388-1.626-2.311, 7, 34C, C,1.75,66, Natural 

Adrienne Bailon, Pear , 6,2.261-1.626-2.388, 5, 32C, C,1.5,54, Natural 

Nicole Beharie, Hourglass , 6,2.261-1.676-2.311, 7, 32C, C,1.55,54, Natural 

Charlotte Gainsbourg, Banana , 2,2.134-1.549-2.261, 6, 32A, A,1.73,52, Natural 

Mae West, Hourglass , 6,2.261-1.549-2.261, 6.5, 32C, C,1.52,53, Natural 

Betty Grable, Hourglass , 8,2.311-1.473-2.261, 5, 34B, B,1.63,54, Natural 

Hayley Williams, Banana , 0,2.134-1.626-2.184, 6, 32A, A,1.57,53, Natural 

Chloe Bennet, Hourglass , 4,2.261-1.626-2.261, 7, 32C, C,1.68,57, Natural 

Brenda Song, Banana , 0,2.184-1.549-2.184, 8, 32B, B,1.58,51, Natural 

Carly Rae Jepsen, Banana , 2,2.184-1.626-2.184, 7, 32B, B,1.57,52, Natural 

Aly Michalka, Hourglass , 4,2.311-1.549-2.311, 8, 34B, B,1.73,55, Natural 

Mel B, Hourglass , N/A,2.464-1.676-2.311, 7, 34D, D,1.65,60, Implants 

Queen Latifah, Apple , 18,2.896-2.769-2.896, 7, 40DD , DD,1.78,91, Natural 

Marie Osmond, Hourglass , 6,2.515-1.753-2.388, 6, 36C, C,1.65,54, Natural 

Samantha Barks, Banana , 2,2.184-1.473-2.261, 8.5, 32B, B,1.7,54, Natural 

Daniella Monet, Apple , 6,2.388-1.753-2.311, 6, 34C, C,1.6,64, Natural 

Sara Evans, Hourglass , 6,2.591-1.676-2.388, 10, 36D, D,1.75,62, Natural 

Kristin Chenoweth, Hourglass , 0,2.134-1.473-2.134, 5.5, 30C, C,1.5,45, Natural 

Gwen Stefani, Banana , 2,2.134-1.626-2.184, 8, 32A, A,1.68,54, Natural 

Bridgit Mendler, Banana , 2,2.184-1.626-2.261, 7, 32B, B,1.68,54, Natural 

Jordin Sparks, Hourglass , 6,2.311-1.676-2.311, 11, 34B, B,1.78,64, Natural 

Emily Osment, Hourglass , 2,2.184-1.626-2.261, 6.5, 32B, B,1.59,57, Natural 

Jennifer Hudson, Hourglass , 4 ,1.016-0.838-1.067, 7, 34C , C ,Null,205, Natural 

Rita Ora, Hourglass , 2,2.261-1.626-2.261, 8, 32C, C,1.66,55, Natural 

Madonna, Hourglass , 2,2.388-1.549-2.261, 8, 34C, C,1.64,57, Natural 

Miranda Cosgrove, Banana , 0,2.134-1.549-2.184, 7, 32A, 32A,1.68,53, Natural 

Kylie Minogue, Banana , 2,2.184-1.473-2.261, 5, 32B, B,1.57,46, Natural 

Paulina Gretzky, Banana , 0,2.184-1.524-2.184, 8, 32B, B,1.73,57, Natural 

Kimberley Walsh, Banana , 2,2.057-1.626-2.261, 7, 32A, A,1.65,56, Natural 

Mandy Moore, Hourglass , 4,2.311-1.676-2.311, 9, 34B, B,1.76,61, Natural 

Katherine Jenkins, Apple , 4,2.311-1.676-2.134, 7, 32D, D,1.65,52, Natural 

Katharine McPhee, Hourglass , 4,2.311-1.676-2.261, 8.5, 34B, B,1.73,55kg), Natural 

Jennette McCurdy, Apple , 4,2.261-1.676-2.184, 7, 32C, C,1.6,54, Natural 

Zendaya Coleman, Hourglass , 2,2.184-1.626-2.261, 7, 32B, B,1.78,59, Natural 

Faith Hill, Banana , 0,2.184-1.549-2.184, 7, 32B, B,1.73,54, Natural 

